ISTASYON_NO,SOKET_GUCU,SOKET_NO,SOKET_TIPI,SOKET_TURU
,120,SKT/17341,DC,DC_CCS
,120,SKT/17342,DC,DC_CCS
,22,SKT/22106,AC,AC_TYPE2
,60,SKT/34999,DC,DC_CCS
,120,SKT/35012,DC,DC_CCS
,120,SKT/35013,DC,DC_CCS
,80,SKT/35016,DC,DC_CCS
,80,SKT/35017,DC,DC_CCS
,22,SKT/35019,AC,AC_TYPE2
,22,SKT/35020,AC,AC_TYPE2
,22,SKT/35021,AC,AC_TYPE2
,60,SKT/35014,DC,DC_CCS
,60,SKT/35015,DC,DC_CCS
,240,SKT/35026,DC,DC_CCS
,240,SKT/35027,DC,DC_CCS
,90,SKT/35028,DC,DC_CCS
,90,SKT/35029,DC,DC_CCS
,80,SKT/35055,DC,DC_CCS
,80,SKT/35056,DC,DC_CCS
,22,SKT/35057,AC,AC_TYPE2
,22,SKT/35058,AC,AC_TYPE2
,22,SKT/35059,AC,AC_TYPE2
,22,SKT/35070,AC,AC_TYPE2
,120,SKT/35072,DC,DC_CCS
,120,SKT/35075,DC,DC_CCS
,11,SKT/35083,AC,AC_TYPE2
,80,SKT/35084,DC,DC_CCS
,80,SKT/35085,DC,DC_CCS
,22,SKT/35086,AC,AC_TYPE2
,22,SKT/35087,AC,AC_TYPE2
,22,SKT/35088,AC,AC_TYPE2
,22,SKT/35089,AC,AC_TYPE2
,22,SKT/35090,AC,AC_TYPE2
,22,SKT/35091,AC,AC_TYPE2
,22,SKT/35092,AC,AC_TYPE2
,22,SKT/35093,AC,AC_TYPE2
,22,SKT/35094,AC,AC_TYPE2
,22,SKT/35095,AC,AC_TYPE2
,22,SKT/35096,AC,AC_TYPE2
,22,SKT/35097,AC,AC_TYPE2
,11,SKT/35098,AC,AC_TYPE2
,180,SKT/35099,DC,DC_CCS
,180,SKT/35100,DC,DC_CCS
,180,SKT/35101,DC,DC_CCS
,180,SKT/35102,DC,DC_CCS
,180,SKT/35103,DC,DC_CCS
,180,SKT/35104,DC,DC_CCS
,180,SKT/35105,DC,DC_CCS
,180,SKT/35106,DC,DC_CCS
,22,SKT/2285,AC,AC_TYPE2
,22,SKT/2286,AC,AC_TYPE2
,22,SKT/2293,AC,AC_TYPE2
,22,SKT/2294,AC,AC_TYPE2
,22,SKT/13773,AC,AC_TYPE2
,22,SKT/13774,AC,AC_TYPE2
,22,SKT/13799,AC,AC_TYPE2
,22,SKT/13800,AC,AC_TYPE2
,180,SKT/2217,DC,DC_CCS
,180,SKT/2220,DC,DC_CCS
,180,SKT/2221,DC,DC_CCS
,180,SKT/11397,DC,DC_CCS
,180,SKT/11398,DC,DC_CCS
,180,SKT/11399,DC,DC_CCS
,180,SKT/16066,DC,DC_CCS
,180,SKT/16067,DC,DC_CCS
,180,SKT/16068,DC,DC_CCS
,180,SKT/16069,DC,DC_CCS
